pub_date,headline,abstract,keywords,lead_paragraph,date_parsed
2024-12-05 10:04:25+00:00,"{'main': 'Where Are Rent Prices Rising the Most in New York City?', 'kicker': 'Calculator', 'content_kicker': None, 'print_headline': 'Seeking More, or Less, From Tenants', 'name': None, 'seo': None, 'sub': None}","Rental inventory is rising in Queens and Brooklyn, and declining in Manhattan. How are new developments altering the rental market?","[{'name': 'subject', 'value': 'Real Estate and Housing (Residential)', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'New York City', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Renting and Leasing (Real Estate)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Prices (Fares, Fees and Rates)', 'rank': 4, 'major': 'N'}]","The median asking rent in New York City rose 2.1 percent from October 2023 to October 2024, according to a report from StreetEasy. But even if the average rental is a bit more expensive, the annual growth rate has slowed as inventory has increased, according to researchers, “indicating a calmer market.”",2024-12-05T10:04:25Z
2024-05-01 01:19:04+00:00,"{'main': 'Democrats Win New York Special House Election, Narrowing G.O.P. Majority', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","The victory by Timothy Kennedy, a Democratic state senator, was not a surprise. But it will make Republicans’ lives more difficult in Washington.","[{'name': 'persons', 'value': 'Kennedy, Timothy M', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Elections, House of Representatives', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'House of Representatives', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Democratic Party', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'New York State', 'rank': 6, 'major': 'N'}, {'name': 'glocations', 'value': 'Buffalo (NY)', 'rank': 7, 'major': 'N'}]","Timothy M. Kennedy, a Democratic New York State senator, easily won a special House election on Tuesday to replace a retiring congressman in western New York, according to The Associated Press.",2024-05-01T01:19:04Z
2024-12-06 00:11:41+00:00,"{'main': 'Elon and Vivek’s DOGE Goes to Congress', 'kicker': 'Congressional Memo', 'content_kicker': None, 'print_headline': 'A Pitch for Cutbacks Is Brief and Bright, But With Few Specifics', 'name': None, 'seo': None, 'sub': None}","The tycoons in charge of President-elect Donald J. Trump’s amorphous government efficiency initiative made the rounds on Capitol Hill, bashing debt but revealing little about how they will tackle it.","[{'name': 'subject', 'value': 'United States Politics and Government', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Federal Budget (US)', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'House of Representatives', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'Senate', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Republican Party', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Government Efficiency Department (US)', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Musk, Elon', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Ramaswamy, Vivek (1985- )', 'rank': 8, 'major': 'N'}]","As far as congressional meetings go, Elon Musk and Vivek Ramaswamy’s huddle with Republicans was remarkably efficient.",2024-12-06T00:11:41Z
2024-12-12 20:09:25+00:00,"{'main': 'A Cozy House, a Spooky Setting and a Leap of Faith: Creative Writing by Teens', 'kicker': 'current events conversation', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",Some favorite student responses to three recent Picture Prompts.,[],"Use your imagination to write the opening of a short story or poem inspired by this illustration, or describe a memory from your own life that this image makes you think of.",2024-12-12T20:09:25Z
2024-12-08 10:00:09+00:00,"{'main': '8 Great Thrillers About Bad Marriages', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","Lucy Foley, the author of “The Guest List,” recommends books about the most intimate of dramas, including twisty mysteries and all-time favorites like “Rebecca” and “Gone Girl.”","[{'name': 'subject', 'value': 'Books and Literature', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Marriages', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'genre-books-thriller', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Adegoke, Yomi', 'rank': 4, 'major': 'N'}, {'name': 'creative_works', 'value': 'The List: A Novel (Book)', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Du Maurier, Daphne', 'rank': 6, 'major': 'N'}, {'name': 'creative_works', 'value': 'Rebecca (Book)', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Hillier, Jennifer', 'rank': 8, 'major': 'N'}, {'name': 'creative_works', 'value': 'Things We Do in the Dark (Book)', 'rank': 9, 'major': 'N'}, {'name': 'persons', 'value': 'Mendelson, Charlotte (Author)', 'rank': 10, 'major': 'N'}, {'name': 'persons', 'value': 'Flynn, Gillian', 'rank': 12, 'major': 'N'}, {'name': 'creative_works', 'value': 'Gone Girl (Book)', 'rank': 13, 'major': 'N'}, {'name': 'persons', 'value': 'Dave, Laura', 'rank': 14, 'major': 'N'}, {'name': 'creative_works', 'value': 'The Last Thing He Told Me: A Novel (Book)', 'rank': 15, 'major': 'N'}, {'name': 'persons', 'value': 'Slimani, Leila', 'rank': 16, 'major': 'N'}, {'name': 'creative_works', 'value': 'ADELE (BOOK)', 'rank': 17, 'major': 'N'}]","What is it about marriages that makes them enduringly fertile material for the thriller treatment? Is it that we’re all incurably curious about the lives of others? Is it the schadenfreude of learning that an outwardly perfect union is anything but? Perhaps it’s the fascinating, unnerving suggestion that there may be secrets — terrible, life-upending secrets — even within the sanctuary of a person’s home and at the heart of this most intimate of relationships.",2024-12-08T10:00:09Z
2024-12-04 18:25:37+00:00,"{'main': 'Trump to Nominate Gail Slater to Lead Justice Department’s Antitrust Efforts', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","If confirmed as assistant attorney general for the antitrust division, she would inherit lawsuits to break up Google’s search monopoly and ad tech dominance, as well as a case accusing Apple of making it hard for consumers to switch software and hardware.","[{'name': 'subject', 'value': 'Antitrust Laws and Competition Issues', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Computers and the Internet', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Presidential Election of 2024', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Appointments and Executive Changes', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Presidential Transition (US)', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Suits and Litigation (Civil)', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Regulation and Deregulation of Industry', 'rank': 8, 'major': 'N'}, {'name': 'organizations', 'value': 'Justice Department', 'rank': 9, 'major': 'N'}, {'name': 'persons', 'value': 'Trump, Donald J', 'rank': 10, 'major': 'N'}, {'name': 'persons', 'value': 'Slater, Gail', 'rank': 11, 'major': 'N'}]",Follow the latest news on Trump’s transition and staff picks.,2024-12-04T18:25:37Z
2024-12-29 23:30:04+00:00,"{'main': 'Covering Carter: A Reporter Recalls the President’s Personal Side', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","In private, Jimmy Carter could be appealing and unassuming, according to a reporter who covered his presidency for The Times.","[{'name': 'persons', 'value': 'Carter, Jimmy', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 2, 'major': 'N'}]","The first thing I did after starting to cover the presidency of Jimmy Carter for The Times was to read his campaign autobiography, “Why Not the Best?”",2024-12-29T23:30:04Z
2024-12-20 10:47:55+00:00,"{'main': 'Ring-Kissing, Defamation Lawsuits and a Looming Shutdown', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","On this week’s round table, Michael Barbaro sits down with Maggie Haberman, Andrew Ross Sorkin and Catie Edmondson to discuss the latest news in Donald J. Trump’s transition to power.","[{'name': 'creative_works', 'value': 'The Daily (Radio Program)', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Barbaro, Michael', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Trump, Donald J', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Media', 'rank': 5, 'major': 'N'}]","On this week’s round table, Michael Barbaro sits down with Maggie Haberman, Andrew Ross Sorkin and Catie Edmondson to discuss the latest news in Donald J. Trump’s transition to power.",2024-12-20T10:47:55Z
2024-12-24 12:17:32+00:00,"{'main': 'Dutch Court Issues Prison Sentences Over Violence Against Israeli Soccer Fans', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","Five people were found guilty of crimes, including public violence, in relation to attacks targeting Israelis in Amsterdam last month.","[{'name': 'glocations', 'value': 'AMSTERDAM (NETHERLANDS)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Demonstrations, Protests and Riots', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Anti-Semitism', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Palestinians', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Ajax Amsterdam (Soccer Team)', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Maccabi Tel Aviv', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 7, 'major': 'N'}]","A Dutch court on Tuesday found five people guilty of public violence or incitement of public violence, the first rulings related to last month’s assaults against Israeli soccer fans surrounding a ​match in Amsterdam between an Israeli team and a Dutch team.",2024-12-24T12:17:32Z
2024-12-10 19:55:17+00:00,"{'main': 'Australian Cyclist Pleads Guilty in Death of Wife, a Fellow Olympian', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","Rohan Dennis pleaded guilty this week to a lesser charge in the death of Melissa Hoskins last year, after he drove with her on the hood of a vehicle, the authorities said.","[{'name': 'subject', 'value': 'Cycling, Road', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Bicycles and Bicycling', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Olympic Games (2016)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Cycling, Track', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Olympic Games (2012)', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Fatalities)', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Dennis, Rohan (1990- )', 'rank': 7, 'major': 'N'}, {'name': 'glocations', 'value': 'Adelaide (Australia)', 'rank': 8, 'major': 'N'}, {'name': 'glocations', 'value': 'Australia', 'rank': 9, 'major': 'N'}, {'name': 'glocations', 'value': 'Perth (Australia)', 'rank': 10, 'major': 'N'}]","Rohan Dennis, an Olympic cyclist from Australia, pleaded guilty this week for his role in a vehicle incident that fatally injured his wife, Melissa Hoskins, also an Olympic cyclist, late last year, the local media reported.",2024-12-10T19:55:17Z
